Brand,Model Name,Vehicle Status,Year,Availability Start Year,Availability End Year,Real-World Range (km),Energy Efficiency (Wh/km),Battery Capacity (kWh),Vehicle Weight (kg),"Acceleration (0-100 km/h, sec)",Fast Charging Speed (kW),Towing Capacity (kg),Cargo Volume (L),Price (€)
MG,MG4 Electric 64 kWhMG MG4 Electric 64 kWh,Available,2022,2022,,360.0,171.0,61.7,1720.0,7.9,115.0,500.0,363.0,36589.0
BMW,iX3 50 xDrive (MY26)BMW iX3 50 xDrive,Available,2025,2025,,610.0,178.0,108.7,2360.0,4.9,225.0,2000.0,578.0,68989.0
Tesla,Model Y Long Range AWD (Juniper)Tesla Model Y Long Range AWD,Discontinued,2025,2025,2025,455.0,165.0,75.0,2070.0,4.8,124.0,1600.0,971.0,55589.0
Mercedes-Benz,CLA 250+Mercedes-Benz CLA 250+,Available,2025,2025,,585.0,145.0,85.0,2050.0,6.7,235.0,1500.0,506.0,55789.0
BMW,iX xDrive40BMW iX xDrive40,Discontinued,2021,2021,2025,360.0,197.0,71.0,2440.0,6.1,102.0,2500.0,500.0,80889.0
Tesla,Model Y RWD (Juniper)Tesla Model Y RWD,Available,2025,2025,,375.0,160.0,60.0,2000.0,5.9,110.0,1600.0,971.0,47889.0
Fiat,500e Hatchback 42 kWhFiat 500e Hatchback 42 kWh,Available,2020,2020,,235.0,159.0,37.3,1360.0,9.0,67.0,0.0,185.0,33589.0
CUPRA,Born 150 kW - 58 kWhCUPRA Born 150 kW - 58 kWh,Discontinued,2021,2021,2024,350.0,166.0,58.0,1810.0,7.3,82.0,0.0,385.0,38589.0
Kia,EV3 Long RangeKia EV3 Long Range,Available,2024,2024,,455.0,171.0,78.0,1880.0,7.7,105.0,1000.0,485.0,41489.0
CUPRA,Born 170 kW - 77 kWhCUPRA Born 170 kW - 77 kWh,Discontinued,2022,2022,2024,450.0,171.0,77.0,1940.0,7.0,115.0,0.0,385.0,46389.0
Tesla,Model 3 Long Range RWD (Highland)Tesla Model 3 Long Range RWD,Available,2025,2025,,580.0,136.0,79.0,1820.0,5.2,120.0,1000.0,682.0,47889.0
Tesla,Model 3 RWD (Highland CATL LFP64)Tesla Model 3 RWD,Available,2025,2025,,440.0,136.0,60.0,1830.0,6.1,110.0,1000.0,682.0,42389.0
Renault,Twingo E-Tech 27.5 kWhRenault Twingo E-Tech 27.5 kWh,Available,2026,2026,,190.0,145.0,27.5,1200.0,12.1,40.0,0.0,360.0,19989.0
Tesla,Model 3 Standard Range PlusTesla Model 3 Standard Range Plus,Discontinued,2019,2019,2020,320.0,153.0,49.0,1680.0,5.6,105.0,1000.0,542.0,47689.0
BYD,ATTO 3 (MY23-24)BYD ATTO 3,Discontinued,2022,2022,2025,330.0,183.0,60.5,1820.0,7.3,71.0,0.0,440.0,40189.0
Renault,5 E-Tech 52kWh 150hpRenault 5 E-Tech 52kWh 150hp,Available,2024,2024,,335.0,155.0,52.0,1500.0,8.0,70.0,500.0,326.0,31089.0
BYD,SEALION 7 91.3 kWh AWD ExcellenceBYD SEALION 7 91.3 kWh AWD Excellence,Available,2024,2024,,440.0,208.0,91.3,2510.0,4.5,165.0,1500.0,578.0,61689.0
Tesla,Model Y Long Range AWDTesla Model Y Long Range AWD,Discontinued,2022,2022,2025,445.0,169.0,75.0,2050.0,5.0,124.0,1600.0,971.0,56289.0
BYD,SEALION 7 82.5 kWh RWD ComfortBYD SEALION 7 82.5 kWh RWD Comfort,Available,2024,2024,,420.0,196.0,82.5,2300.0,6.7,115.0,750.0,578.0,50989.0
Mercedes-Benz,GLC 400 4MATICMercedes-Benz GLC 400 4MATIC,Available,2025,2025,,500.0,188.0,94.0,2530.0,4.3,190.0,2400.0,698.0,72889.0
Tesla,Model Y Long Range RWD (Juniper)Tesla Model Y Long Range RWD,Available,2025,2025,,470.0,160.0,75.0,1970.0,5.6,124.0,1600.0,971.0,52789.0
